,Text,Thumbwheel,XT Page,Keyword
3588,"DEFLECTOR EXIT RIGHT - CURRENT, DEFLECTOR EXIT RIGHT - GAIN, DEFLECTOR EXIT RIGHT - RAW GAIN",TK 51 MUXR,7B,Tank
3589,"DEFLECTOR EXIT 2 UP - CURRENT, DEFLECTOR EXIT 2 UP - GAIN, DEFLECTOR EXIT 2 UP - RAW GAIN",TK 52 MUXL,7B,Tank
3590,"DEFLECTOR EXIT 2 DOWN - CURRENT, DEFLECTOR EXIT 2 DOWN - GAIN, DEFLECTOR EXIT 2 DOWN - RAW GAIN",TK 52 MUXR,7B,Tank
3591,"BACKUP LE SPILL MONITOR 1 GAIN ERROR, BACKUP LE SPILL MONITOR 1 RAW MUX, BACKUP LE SW SPILL MONITOR 1 - CURRENT, BACKUP LE SW SPILL MONITOR 1 - GAIN, BACKUP LE SW SPILL MONITOR 1 - RAW GAIN",TK 270 MUX,"7B, DTW",Tank
3592,"BACKUP LE SPILL MONITOR 2 GAIN ERROR, BACKUP LE SPILL MONITOR 2 RAW MUX, BACKUP LE SW SPILL MONITOR 2 - CURRENT, BACKUP LE SW SPILL MONITOR 2 - GAIN, BACKUP LE SW SPILL MONITOR 2 - RAW GAIN",TK 271 MUX,"7B, DTW",Tank
3593,"BACKUP LE SPILL MONITOR 3 GAIN ERROR, BACKUP LE SPILL MONITOR 3 RAW MUX, BACKUP LE SW SPILL MONITOR 3 - CURRENT, BACKUP LE SW SPILL MONITOR 3 - GAIN, BACKUP LE SW SPILL MONITOR 3 - RAW GAIN",TK 272 MUX,"7B, DTW",Tank
3594,"BACKUP LE SPILL MONITOR 4 GAIN ERROR, BACKUP LE SPILL MONITOR 4 RAW MUX, BACKUP LE SW SPILL MONITOR 4 - CURRENT, BACKUP LE SW SPILL MONITOR 4 - GAIN, BACKUP LE SW SPILL MONITOR 4 - RAW GAIN",TK 273 MUX,"7B, DTW",Tank
3595,"BACKUP LE SPILL MONITOR 5 GAIN ERROR, BACKUP LE SPILL MONITOR 5 RAW MUX, BACKUP LE SW SPILL MONITOR 5 - CURRENT, BACKUP LE SW SPILL MONITOR 5 - GAIN, BACKUP LE SW SPILL MONITOR 5 - RAW GAIN",TK 274 MUX,"7B, DTW",Tank
3596,"BACKUP LE SPILL MONITOR 6 GAIN ERROR, BACKUP LE SPILL MONITOR 6 RAW MUX, BACKUP LE SW SPILL MONITOR 6 - CURRENT, BACKUP LE SW SPILL MONITOR 6 - GAIN, BACKUP LE SW SPILL MONITOR 6 - RAW GAIN",TK 275 MUX,"7B, DTW",Tank
3597,"BACKUP LE SPILL MONITOR 7 GAIN ERROR, BACKUP LE SPILL MONITOR 7 RAW MUX, BACKUP LE SW SPILL MONITOR 7 - CURRENT, BACKUP LE SW SPILL MONITOR 7 - GAIN, BACKUP LE SW SPILL MONITOR 7 - RAW GAIN",TK 276 MUX,"7B, DTW",Tank
3598,"BACKUP LE SPILL MONITOR 8 GAIN ERROR, BACKUP LE SPILL MONITOR 8 RAW MUX, BACKUP LE SW SPILL MONITOR 8 - CURRENT, BACKUP LE SW SPILL MONITOR 8 - GAIN, BACKUP LE SW SPILL MONITOR 8 - RAW GAIN",TK 277 MUX,"7B, DTW",Tank
3599,"Q2 VERTICAL FLAG - GAIN, Q2 VERTICAL FLAG CURRENT, Q2 VERTICAL FLAG GAIN",TK 102 MUX,"7C, 7K, 8F",Tank
3600,I1 BSTS 030+ - GAIN,IB 401 MUX,7C,ISIS Beamline
3601,"V&R FLAG - GAIN, VERTICAL FLAG CURRENT, VERTICAL FLAG GAIN",TK 103 MUX,"7C, 7K, 8F",Tank
3602,"I2 BSTS 042, 078, 105 - GAIN",IB 402 MUX,7C,ISIS Beamline
3603,"WATER-COOLED PROBE CURRENT, WATER-COOLED PROBE GAIN, WC PIP - GAIN",TK 100 MUX,"7C, 7K",Tank
3604,"PIPS 2-6 CURRENT, PIPS 2-6 GAIN, POP-IN PROBES 2-6 - GAIN",TK 70 MUX,"7C, 7K",Tank
3605,"LE 1 - GAIN, LOW ENERGY 1 CURRENT, LOW ENERGY 1 GAIN",TK 120 MUX,"7C, 7K",Tank
3606,"LE 2 - GAIN, LOW ENERGY 2 CURRENT, LOW ENERGY 2 GAIN",TK 130 MUX,"7C, 7K",Tank
3607,"HE 1 - GAIN, HIGH ENERGY 1 CURRENT, HIGH ENERGY 1 GAIN",TK 140 MUX,"7C, 7K",Tank
3608,"HE 2 - GAIN, HIGH ENERGY 2 CURRENT, HIGH ENERGY 2 GAIN",TK 150 MUX,"7C, 7K",Tank
3609,2AVM2 - GAIN,2A 102 MUX,7C,Beamline 2A
3610,HE 3 - GAIN,TK 107 MUX,7C,Tank
3611,2AVM6 - GAIN,2A 106 MUX,7C,Beamline 2A
3612,2AVM7 - GAIN,2A 107 MUX,7C,Beamline 2A
3613,2AM8 - GAIN,2A 110 MUX,7C,Beamline 2A
3614,"EXTRACTION 4 GAIN, EXTRACTION PROBE 4 - GAIN, EXTRACTOR 4 RAW MUX",TK 167 MUX,"7C, 7H, 7K",Tank
3615,2AM13 - GAIN,2A 115 MUX,7C,Beamline 2A
3616,"LE SW RAW MUX, SPILL MONITOR LESW - GAIN",TK 204 MUX,"7C, 7H",Tank
3617,2A2M19 - GAIN,2A 123 MUX,7C,Beamline 2A
3618,"LE NE RAW MUX, SPILL MONITOR LENE - GAIN",TK 206 MUX,"7C, 7H",Tank
3619,2A3M19 - GAIN,2A 142 MUX,7C,Beamline 2A
3620,"HE SW RAW MUX, SPILL MONITOR HESW - GAIN",TK 205 MUX,"7C, 7H",Tank
3621,"HE NE RAW MUX, SPILL MONITOR HENE - GAIN",TK 207 MUX,"7C, 7H",Tank
3622,2C4VM3 - GAIN,B2 122 MUX,7C,Beamline 2C
3623,ION SPILL - GAIN,B1 110 MUX,7C,Beamline 1
3624,"NBIF MONITOR - GAIN, NBIF MONITOR UP",B1 181 MUX,"7C, NBIF",Beamline 1
3625,1AM6.6 GAIN,B1 207 MUX,7C,Beamline 1
3626,TNIM030 LIMIT,IB 440 DAC,7H,ISIS Beamline
3627,"ISIS LOSS CURRENT, ISIS LOSS RAW MUX",IB 461 MUX,7H,ISIS Beamline
3628,ISIS LOSS LIMIT,IB 461 DAC,7H,ISIS Beamline
3629,LE SW DARK CURRENT,TK 501 MUX,7H,Tank
3630,"LE SW BEAM LOSS, LE SW GAIN ERROR",TK 500 MUX,7H,Tank
3631,HE SW DARK CURRENT,TK 503 MUX,7H,Tank
3632,"HE SW BEAM LOSS, HE SW GAIN ERROR",TK 502 MUX,7H,Tank
3633,LE NE DARK CURRENT,TK 505 MUX,7H,Tank
3634,"LE NE BEAM LOSS, LE NE GAIN ERROR",TK 504 MUX,7H,Tank
3635,HE NE DARK CURRENT,TK 507 MUX,7H,Tank
3636,"HE NE BEAM LOSS, HE NE GAIN ERROR",TK 506 MUX,7H,Tank
3637,SPILL MONITORS TOTAL BEAM LOSS UPPER LIMIT,TK 555 MUX,7H,Tank
3638,SPILL MONITORS ACTIVE ADJUSTED NIM CURRENT,TK 560 MUX,7H,Tank
3639,2C TOROID DARK CURRENT,B2 722 MUX,7H,Beamline 2C
3640,EXTRACTOR 4 DARK CURRENT,B4 766 MUX,7H,Beamline 4
3641,EXTRACTED CURRENTS TOTAL CURRENT LOWER LIMIT,TK 556 MUX,7H,Tank
3642,EXTRACTED CURRENTS ACTIVE ADJUSTED NIM CURRENT,TK 557 MUX,7H,Tank
3643,Q2 VERTICAL FLAG TRIP LIMIT,TK 509 MUX,7K,Tank
3644,VERTICAL FLAG TRIP LIMIT,TK 510 MUX,7K,Tank
3645,WATER-COOLED PROBE TRIP LIMIT,TK 511 MUX,7K,Tank
3646,PIPS 2-6 TRIP LIMIT,TK 520 MUX,7K,Tank
3647,LOW ENERGY 1 TRIP LIMIT,TK 512 MUX,7K,Tank
3648,LOW ENERGY 2 TRIP LIMIT,TK 513 MUX,7K,Tank
3649,HIGH ENERGY 1 TRIP LIMIT,TK 514 MUX,7K,Tank
3650,HIGH ENERGY 2 TRIP LIMIT,TK 515 MUX,7K,Tank
3651,HE3 (VIB-TNIM022) TRIP LIMIT,TK 516 MUX,7K,Tank
3652,"EXTRACTION 1 LIMIT, EXTRACTION 1 TRIP LIMIT",TK 523 MUX,"7K, 7L",Tank
3653,2AM12 TOROID CURRENT LIMIT,TK 601 MUX,7K,Tank
3654,2AM14 CAPACITIVE PROBE B TRIP LIMIT,2A 137 MUX,7K,Beamline 2A
3655,EXTRACTION 4 TRIP LIMIT,TK 524 MUX,7K,Tank
3656,T1 POSITION 0 LIMIT,TG 330 MUX,7L,Targets
3657,T1 POSITION 1 LIMIT,TG 331 MUX,7L,Targets
3658,T1 POSITION 2 LIMIT,TG 332 MUX,7L,Targets
3659,T1 POSITION 3 LIMIT,TG 333 MUX,7L,Targets
3660,T1 POSITION 4 LIMIT,TG 334 MUX,7L,Targets
3661,T1 POSITION 5 LIMIT,TG 335 MUX,7L,Targets
3662,T2 POSITION 0 LIMIT,TG 336 MUX,7L,Targets
3663,T2 POSITION 1 LIMIT,TG 337 MUX,7L,Targets
3664,T2 POSITION 2 LIMIT,TG 340 MUX,7L,Targets
3665,T2 POSITION 3 LIMIT,TG 341 MUX,7L,Targets
3666,T2 POSITION 4 LIMIT,TG 342 MUX,7L,Targets
3667,T2 POSITION 5 LIMIT,TG 343 MUX,7L,Targets
3668,1AM9 IN POSITION LIMIT,B1 264 MUX,7L,Beamline 1
3669,1AM9 OUT POSITION LIMIT,B1 265 MUX,7L,Beamline 1
3670,DEFAULT LIMIT,TG 344 MUX,7L,Targets
3671,POSITIVE INFLECTOR RATIO,TK 460 MUX,7M,Tank
3672,NEGATIVE INFLECTOR RATIO,TK 461 MUX,7M,Tank
3673,POSITIVE DEFLECTOR RATIO,TK 462 MUX,7M,Tank
3674,NEGATIVE DEFLECTOR RATIO,TK 463 MUX,7M,Tank
3675,DC DEFLECTOR RATIO,TK 464 MUX,7M,Tank
3676,DC DEFLECTOR DAC,TK 242 DAC,7M,Tank
3677,DC DEFLECTOR RAW MUX,TK 242 MUX,7M,Tank
3678,KEITHLEY 1 CHANNEL 1,MS 64 REG,7Z,Miscellanious
3679,LE 1 ABSOLUTE ENCODER POSITION,TK 127 MUX,81,Tank
3680,LE 1 SPEED,TK 210 DAC 11,81,Tank
3681,LE 1 (OUT) STATUS,TK 210 DIGI,81,Tank
3682,LE 1 (SELECT) STATUS,TK 210 DAC 12,81,Tank
3683,LE 1 ABSOLUTE ENCODER POSITION,TK 137 MUX,81,Tank
3684,LE 2 SPEED,TK 214 DAC 11,81,Tank
3685,*** USED BY INTERNCALREAD,TK 214 DIGI,81,Tank
3686,LE 2 (SELECT) STATUS,TK 214 DAC 12,81,Tank
3687,VERTICAL FLAG SPEED,TK 213 DAC 11,81,Tank
3688,"VERTICAL FLAG (OUT) STATUS, VERTICAL FLAG - OUT (- LMT)",TK 213 DIGI,"81, 8F",Tank
3689,VERTICAL FLAG (SELECT) STATUS,TK 213 DAC 12,81,Tank
3690,"RAD. FLAG Q2 SPEED, RADIAL FLAG Q2 SPEED",TK 237 DAC       11,"81, 8F",Tank
3691,"RAD. FLAG Q2 - OUT (-LMT), RADIAL FLAG Q2 (OUT: -LMT) STATUS",TK 237 DIGI,"81, 8F",Tank
3692,"RAD. FLAG Q2 (SELECT) STATUS, RADIAL FLAG Q2 (SELECT) STATUS",TK 237 DAC       12,"81, 8F",Tank
3693,RADIAL FLAG Q4 SPEED,TK 217 DAC 11,81,Tank
3694,"RAD. FLAG Q4 - OUT (-LMT), RADIAL FLAG Q4 (OUT) STATUS",TK 217 DIGI,"81, 8F",Tank
3695,RADIAL FLAG Q4 (SELECT) STATUS,TK 217 DAC 12,81,Tank
3696,Q2 VERTICAL FLAG SPEED,TK 246 DAC 11,81,Tank
3697,"Q2 VERTICAL FLAG (OUT) STATUS, Q2 VERTICAL FLAG - OUT (- LMT)",TK 246 DIGI,"81, 8F",Tank
3698,"IF IT IS THE SELECTED MOTOR, IT RETURNS ITS OWN MOTOR # + 1000.",TK 246 DAC 12,81,Tank
3699,"LE 1 < N, LE 1 EXCH (OUT), LE 1 IN, LE 1 OUT (CAL), LE 1 SAFETY ENABLED, LE 1 STEP ENABLED, LE 1 SYNCH BOTH DOWN, LE 1 SYNCH ENABLED, RFLAG (QUAD4) IN, RFLAG (QUAD4) OUT",TK 0 REG,82,Tank
3700,EXTR 1 R SPEED,TK 236 DAC       11,83,Tank
3701,EXTR 1 L SPEED,TK 235 DAC       11,83,Tank
3702,EXTR 1 Z SPEED,TK 234 DAC       11,83,Tank
3703,FLAG OUT,TK 52 REG,87,Tank
3704,RFLAG OUT,TK 53 REG,87,Tank
3705,"LE 1 (INNER) AT DOWN LIMIT STATUS, LE 1 (INNER) AT UP LIMIT STATUS, LE 1 (INNER) DEVICE PRESENT STATUS, LE 1 (INNER) ON/RUNNING STATUS",TK 126 DIGI 9,89,Tank
3706,LE 1 (INNER) MUX VALUE,TK 126 MUXL,89,Tank
3707,"LE 1 (OUTER) AT DOWN LIMIT STATUS, LE 1 (OUTER) AT UP LIMIT STATUS, LE 1 (OUTER) DEVICE PRESENT STATUS, LE 1 (OUTER) ON/RUNNING STATUS",TK 126 DIGI 10,89,Tank
3708,LE 1 (OUTER) MUX VALUE,TK 126 MUXR,89,Tank
3709,"LE 2 (INNER) AT DOWN LIMIT STATUS, LE 2 (INNER) AT UP LIMIT STATUS, LE 2 (INNER) DEVICE PRESENT STATUS, LE 2 (INNER) ON/RUNNING STATUS",TK 136 DIGI 9,89,Tank
3710,LE 2 (INNER) MUX VALUE,TK 136 MUXL,89,Tank
3711,"LE 2 (OUTER) AT DOWN LIMIT STATUS, LE 2 (OUTER) AT UP LIMIT STATUS, LE 2 (OUTER) DEVICE PRESENT STATUS, LE 2 (OUTER) ON/RUNNING STATUS",TK 136 DIGI 10,89,Tank
3712,LE 2 (OUTER) MUX VALUE,TK 136 MUXR,89,Tank
3713,PIP 1 DEVICE PRESENT STATUS,TK 62 DIGI,89,Tank
3714,PIP 2 DEVICE PRESENT STATUS,TK 63 DIGI,89,Tank
3715,PIP 3 DEVICE PRESENT STATUS,TK 64 DIGI,89,Tank
3716,PIP 4 DEVICE PRESENT STATUS,TK 65 DIGI,89,Tank
3717,PIP 5 DEVICE PRESENT STATUS,TK 66 DIGI,89,Tank
3718,PIP 6 DEVICE PRESENT STATUS,TK 67 DIGI,89,Tank
3719,VERTICAL FLAG (SELECT) STATUS,TK 213 DAC       12,8F,Tank
3720,Q2 VERTICAL FLAG (SELECT) STATUS,TK 246 DAC       12,8F,Tank
3721,VERTICAL FLAG SPEED,TK 213 DAC       11,8F,Tank
3722,Q2 VERTICAL FLAG SPEED,TK 246 DAC       11,8F,Tank
3723,RAD. FLAG Q4 (SELECT) STATUS,TK 217 DAC       12,8F,Tank
3724,RAD. FLAG Q4 SPEED,TK 217 DAC       11,8F,Tank
3725,RAD. FLAG Q2 - CURRENT,TK 105 MUX,8F,Tank
3726,RAD. FLAG Q4 - CURRENT,TK 104 MUX,8F,Tank
3727,HE1 POSITION,TK 180 MUX,8H,Tank
3728,HE2 POSITION,TK 185 MUX,8H,Tank
3729,HE1 DESTINATION,TK 181 MUX,8H,Tank
3730,HE2 DESTINATION,TK 186 MUX,8H,Tank
3731,HE1 SPEED,TK 183 MUX,8H,Tank
3732,HE2 SPEED,TK 188 MUX,8H,Tank
3733,HE1 AT IN LIMIT,TK 38 REG,8H,Tank
3734,HE2 AT IN LIMIT,TK 48 REG,8H,Tank
3735,HE1 UP (RETRACTION) ALLOWED,TK 39 REG,8H,Tank
3736,HE2 UP (RETRACTION) ALLOWED,TK 49 REG,8H,Tank
3737,1AM11 PRESENT POSIITON,B1 220 MUX,DTM,Beamline 1
3738,1AM11 SECONDARY POSITION,B1 221 MUX,DTM,Beamline 1
3739,1AM11 DESTINATION,B1 213 MUX,DTM,Beamline 1
3740,"MONITOR ""A"" POSITION",B1 222 MUX,DTM,Beamline 1
3741,"1AM11 AT POSITION ""A"" STATUS, 1AM11 AT POSITION ""B"" STATUS, 1AM11 AT POSITION ""C"" STATUS, 1AM11 AT POSITION ""D"" STATUS",B1 2 REG,DTM,Beamline 1
3742,(+) LIMIT POSITION,B1 226 MUX,DTM,Beamline 1
3743,"MONITOR ""B"" POSITION",B1 223 MUX,DTM,Beamline 1
3744,(-) LIMIT POSITION,B1 227 MUX,DTM,Beamline 1
3745,"MONITOR ""C"" POSITION",B1 224 MUX,DTM,Beamline 1
3746,"MONITOR ""D"" POSITION",B1 225 MUX,DTM,Beamline 1
3747,"MOTOR AT + LIMIT STATUS, MOTOR AT - LIMIT STATUS, MOTOR ERROR STATUS, MOTOR INTERLOCKED STATUS, MOTOR READY STATUS, MOTOR RUNNING STATUS",B1 1 REG,DTM,Beamline 1
3748,"1AM11, TRIMAC WATCHDOG COUNTER",B1 230 MUX,"DTM, MNW1",Beamline 1
3749,UHV TEST STAND ION GAUGES #1,MS 805 MUX,DTU,Miscellanious
3750,UHV TEST STAND ION PUMP #1,MS 807 MUX,DTU,Miscellanious
3751,UHV TEST STAND ION GAUGES #2,MS 806 MUX,DTU,Miscellanious
3752,UHV TEST STAND CONVECTRON GAUGES #1,MS 801 MUX,DTU,Miscellanious
3753,UHV TEST STAND CONVECTRON GAUGES #2,MS 802 MUX,DTU,Miscellanious
3754,UHV TEST STAND TEMPERATURE SENSOR #1,MS 811 MUX,DTU,Miscellanious
3755,UHV TEST STAND TEMPERATURE SENSOR #2,MS 812 MUX,DTU,Miscellanious
3756,UHV TEST STAND TEMPERATURE SENSOR #3,MS 813 MUX,DTU,Miscellanious
3757,UHV TEST STAND TEMPERATURE SENSOR #4,MS 814 MUX,DTU,Miscellanious
3758,UHVTSTANDTEMPS DETACHED PROCESS WATCHDOG,MS 810 MUX,DTU,Miscellanious
3759,4VQ3 CURRENT POSITION,B4 230 MUX,DTV,Beamline 4
3760,4VQ3 DESTINATION,B4 231 MUX,DTV,Beamline 4
3761,PROGRAM WATCHDOG COUNTER,B4 232 MUX,DTV,Beamline 4
3762,BACKUP LE SPILL MONITORS SCALED CURRENT TOTAL,TK 552 MUX,DTW,Tank
3763,BACKUP LE SPILL MONITORS SCALED CURRENT TOTAL LIMIT,TK 553 MUX,DTW,Tank
3764,BACKUP LE SPILL MONITORS ACTIVE ADJUSTED NIM CURRENT,TK 562 MUX,DTW,Tank
3765,LN2 LEVEL ABOVE D4 STATUS,TV 24 REG,DTY,Tank Vacuum
3766,B20 HEAT-X WATCHDOG,V4 137 MUX,DTY,Beamline 4 Vacuum
3767,OTHER BEAMSTOPS STATUS,IB 747 MUX,FC,ISIS Beamline
3768,FARADAY CUP LAST TRIP DEVICE - REG TW#,MS 100 REG,FC,Miscellanious
3769,"1A MON (B1,101) TRIP STATUS, 2ND LINE:",MS 101 REG,"FC, FC1",Miscellanious
3770,"1A MON (B1,101) INTERLOCK, IL1A SCAN FC DEFEAT BITS",MS 151 REG,"FC, FC1",Miscellanious
3771,"EXTR 2A OVERCURRENT TRIP STATUS, IL2A SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS)",MS 104 REG,"FC, FC2",Miscellanious
3772,"EXTR 2A OVERCURRENT INTERLOCK, IL2A SCAN FC DEFEAT BITS",MS 154 REG,"FC, FC2",Miscellanious
3773,"DEFEAT BIT(S), AND ALSO FETCHES THE TEXT FOR THE TRIP BIT(S), EXTR 2A (ACTINIDE) OVERCURRENT TRIP STATUS",MS 121 REG,"FC, FC2",Miscellanious
3774,"EXTR 2A (ACTINIDE) OVERCURRENT INTERLOCK, IL2A_ACTIN SCAN FC DEFEAT BITS",MS 171 REG,"FC, FC2",Miscellanious
3775,"2C SPILL MON TRIP STATUS, IL2C SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS)",MS 106 REG,"FC, FC3",Miscellanious
3776,"2C SPILL MON INTERLOCK, IL2C SCAN FC DEFEAT BITS",MS 156 REG,"FC, FC3",Miscellanious
3777,"CM 2C SP BAD L POS TRIP STATUS, IL2C_FAST SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS)",MS 105 REG,"FC, FC3",Miscellanious
3778,"CM 2C SP BAD L POS INTERLOCK, IL2C_FAST SCAN FC DEFEAT BITS",MS 155 REG,"FC, FC3",Miscellanious
3779,"BACKUP LE SPILL TRIP STATUS, IF CAMAC READ RETURN WITH CAMAC ERROR ""X BUT NO Q"" -> BLANK THE DATA FIELD",MS 107 REG,"FC, FC3",Miscellanious
3780,"BACKUP LE SPILL INTERLOCK, ILBLESM SCAN FC DEFEAT BITS",MS 157 REG,"FC, FC3",Miscellanious
3781,"1VCM1 SP NOT OK TRIP STATUS, ILCMAG SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS)",MS 108 REG,"FC, FC3",Miscellanious
3782,"1VCM1 SP NOT OK INTERLOCK, ILCMAG SCAN FC DEFEAT BITS",MS 158 REG,"FC, FC3",Miscellanious
3783,"ILCYCTX SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS), TANK SPILL TRIP STATUS",MS 109 REG,"FC, FC3",Miscellanious
3784,"ILCYCTX SCAN FC DEFEAT BITS, TANK SPILL INTERLOCK",MS 159 REG,"FC, FC3",Miscellanious
3785,"HE1 HEAD NOT AT LIM TRIP STATUS, ILHE_FAST SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS)",MS 110 REG,"FC, FC4",Miscellanious
3786,"HE1 HEAD NOT AT LIM INTERLOCK, ILHE_FAST SCAN FC DEFEAT BITS",MS 160 REG,"FC, FC4",Miscellanious
3787,"ILHICUR SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS), VFLAG TRIP STATUS",MS 111 REG,"FC, FC5",Miscellanious
3788,"EX 1 GAIN TRIP STATUS, ILHICUR SCAN FC TRIP BITS (2ND WORD) (MASKED WITH DEFEAT BITS)",MS 112 REG,"FC, FC6",Miscellanious
3789,"ILHICUR SCAN FC DEFEAT BITS, VFLAG INTERLOCK",MS 161 REG,"FC, FC5",Miscellanious
3790,"EX 1 GAIN INTERLOCK, ILHICUR SCAN FC DEFEAT BITS (2ND WORD)",MS 162 REG,"FC, FC6",Miscellanious
3791,"ILINF SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS), TK,1 INF + TRIP STATUS",MS 114 REG,"FC, FC4",Miscellanious
3792,"ILINF SCAN FC DEFEAT BITS, TK,1 INF + INTERLOCK",MS 164 REG,"FC, FC4",Miscellanious
3793,"ILINFSK SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS), INF SKIM (TK,50/51) TRIP STATUS",MS 113 REG,"FC, FC4",Miscellanious
3794,"ILINFSK SCAN FC DEFEAT BITS, INF SKIM (TK,50/51) INTERLOCK",MS 163 REG,"FC, FC4",Miscellanious
3795,"ILISIS SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS), IS1 300KV OFF TRIP STATUS",MS 115 REG,"FC, FC7",Miscellanious
3796,"ILISIS SCAN FC DEFEAT BITS, IS1 300KV OFF INTERLOCK",MS 165 REG,"FC, FC7",Miscellanious
3797,"ILPROBE SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS), PIPS (TK,62-67) TRIP STATUS",MS 116 REG,"FC, FC8",Miscellanious
3798,"ILPROBE SCAN FC DEFEAT BITS, PIPS (TK,62-67) INTERLOCK",MS 166 REG,"FC, FC8",Miscellanious
3799,"ILRF SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS), T/C OVERTEMP TRIP STATUS",MS 117 REG,"FC, FC8",Miscellanious
3800,"ILRF SCAN FC DEFEAT BITS, T/C OVERTEMP INTERLOCK",MS 167 REG,"FC, FC8",Miscellanious
3801,"ILSLOW SCAN FC TRIP BITS (MASKED WITH DEFEAT BITS), ISIS H2 FLOW TRIP STATUS",MS 118 REG,"FC, FC8",Miscellanious
3802,"ILSLOW SCAN FC DEFEAT BITS, ISIS H2 FLOW INTERLOCK",MS 168 REG,"FC, FC8",Miscellanious
3803,"2ND LINE:, INFLECTOR TRIP STATUS, WCP TRIP STATUS",MS 119 REG,"FC, FC10, FC9",Miscellanious
3804,"ILTANK SCAN FC TRIP BITS (2ND WORD) (MASKED WITH DEFEAT BITS), INFLECTOR (OFF TK,1) TRIP STATUS, LE SPILL MON (RF,320) WARN TRIP, LE SPILL MON (RF,321) TRIP STATUS",MS 120 REG,"FC, FC10, FC11, FC9",Miscellanious
3805,"ILTANK SCAN FC DEFEAT BITS, INFLECTOR INTERLOCK, WCP INTERLOCK",MS 169 REG,"FC, FC10, FC9",Miscellanious
3806,"ILTANK SCAN FC DEFEAT BITS (2ND WORD), INFLECTOR (OFF TK,1) INTERLOCK, LE SPILL MON (RF,320) WARN STATUS, LE SPILL MON (RF,321) INTERLOCK",MS 170 REG,"FC, FC10, FC11, FC9",Miscellanious
3807,1AT1 U+D/T LIMIT,B1 330 MUX,FC1,Beamline 1
3808,SEPTUM PROTECT LIMIT,B1 331 MUX,FC1,Beamline 1
3809,WCP LIMIT,TK 541 MUX,FC10,Tank
3810,V FLAG LIMIT,TK 542 MUX,FC10,Tank
3811,RFD HOUSING LIMIT,TK 543 MUX,FC10,Tank
3812,"INFLECTOR (OFF TK,1) LIMIT",TK 526 MUX,FC10,Tank
3813,"TANK INF/DEF (OFF TK,1) LIMIT",TK 530 MUX,FC10,Tank
3814,"TANK PLATES (OFF TK,7) LIMIT",TK 532 MUX,FC10,Tank
3815,"TANK IM-1 (OFF IB,335) LIMIT",TK 534 MUX,FC10,Tank
3816,"LE SPILL MON (RF,320) LIMIT",TK 536 MUX,FC11,Tank
3817,"HE SPILL MON (RF,323) LIMIT",TK 540 MUX,FC11,Tank
3818,2C SPILL MON LIMIT,B1 332 MUX,FC3,Beamline 1
3819,2C SPILL MON WARN LIMIT,B1 333 MUX,FC3,Beamline 1
3820,CM 2C SP CURRENT LIMIT,B1 334 MUX,FC3,Beamline 1
3821,1VCM1 SP NOT OK LIMIT,B1 335 MUX,FC3,Beamline 1
3822,4VCM1 SP NOT OK LIMIT,B1 336 MUX,FC3,Beamline 1
3823,"INF SKIM (TK,50/51) LIMIT",TK 546 MUX,FC4,Tank
3824,"INF EXIT (TK,52/53) LIMIT",TK 550 MUX,FC4,Tank
3825,"INF SKIM (TK,50/51) WARN LIMIT",TK 547 MUX,FC4,Tank
3826,"INF SKIM (TK,52/53) WARN LIMIT",TK 551 MUX,FC4,Tank
3827,"ISIS SK (IB,570-573) LIMIT",IB 465 MUX,FC7,ISIS Beamline
3828,"ISIS SK (IB,570-573) LIMIT",IB 466 MUX,FC7,ISIS Beamline
3829,INFLECTOR LIMIT,TK 525 MUX,FC9,Tank
3830,TANK INF/DEF LIMIT,TK 527 MUX,FC9,Tank
3831,TANK PLATES LIMIT,TK 531 MUX,FC9,Tank
3832,TANK IM-1 LIMIT,TK 533 MUX,FC9,Tank
3833,"LE SPILL MON (RF,320) LIMIT",TK 535 MUX,FC9,Tank
3834,"HE SPILL MON (RF,323) LIMIT",TK 537 MUX,FC9,Tank
3835,R MOTOR DESTINATION ECHO,TK 336 MUX,MN2CX,Tank
3836,L MOTOR DESTINATION ECHO,TK 335 MUX,MN2CX,Tank
3837,Z MOTOR DESTINATION ECHO,TK 334 MUX,MN2CX,Tank
3838,BIRA TEST PROCESS WATCHDOG,ET 191 MUX,MNBIRA,Extra Thumbwheels
3839,"GEC0-B2-C04, WATCHDOG",CD 47 REG,"MNCP, MNWCP",CAMAC Design
3840,LAMBDA TEST PROCESS WATCHDOG,ET 189 MUX,MNLMD,Extra Thumbwheels
3841,PS ON/OFF STATUS,ET 190 DIGI,MNLMD,Extra Thumbwheels
3842,PS VOLTAGE,ET 190 MUXR,MNLMD,Extra Thumbwheels
